start	end	text
950880	962720	to do is be able to build a consistent content flow for all markets, yes, all use cases, yes,
962720	970320	and I think this is, this is what we are saying here, which is what we would need to do in order
970320	976160	to do that, but the exam question that you sent me on Wednesday night was around replacing or
976160	983440	in-housing AEM and PEGA, so if we are able to retain AEM and PEGA, then the exam question
983440	992480	becomes how do we simplify, is it Hong Kong marketing team self-serving into AEM and pushing
992480	1000640	it three, yes, okay, and they want automated right now, that is what they came to us saying
1000640	1007280	that we were doing whatever we are doing around before, then we are starting this into Adobe,
1007280	1015600	but we want it to be simpler and can we have a better integration, but the point is like
1016320	1024960	what we need to do is we need to own the journeys, we need to understand the various types of
1024960	1032480	content creation, content formatting, content publication journeys, and try to pick the
1032480	1039120	normalized way of doing it and say that L that we are talking about, the distribution,
1039120	1046480	like I think you can think of it as a LRT, sideways T, the thing will come and then
1046480	1053600	like the distribution is vertical, the distribution is vertical, but the content creation and content
1054160	1064160	ideation is horizontal. And just to be clear, are you saying we have to replace AEM and PEGA
1064160	1071600	and in-house it, or we can still leverage PEGA? That is not your problem, that I think
1071600	1085040	what I would say is we need to make this sideways T work with anything that line of business uses
1085040	1092480	for that particular layer, if they happen to use Adobe in UK and in Hong Kong they are using
1092480	1101200	Excel sheet, in IWPG they are using something else for the decision. It should be okay, but we
1101200	1111680	need to provide them with a strategic future state architecture, but to start with, we need to focus
1111680	1120080	on normalizing the journey first, then normalizing the toolkits. Right now first we say this is how
1120160	1125440	everybody is doing it, these are all the life cycle steps, this is what the preferred way,
1125440	1131200	this is where I think people are consistent, this is where people are diverting. So we will start
1131200	1139600	with highlighting the differences for each market, then say most of them are using AEM for content,
1139600	1145440	or some people are using Sitecore, some people have nothing, or maybe coming to this side we say
1145440	1152160	some people are using PEGA, some people are using GCP, some people are not Excel sheets,
1152160	1159360	like we need every life cycle state of the content creation and flow, and even distribution.
1159360	1169840	We need to say, and what I'm saying is, then we say this messaging will work well with this
1169840	1176240	horizontal thing, so that way we want to merge the messaging with this new idea.
1178000	1187440	Okay, all right, got it. But this one is at the way, I think this is not a wasted effort though.
1187440	1193760	Okay. What I'm saying is like, see, PEGA and Adobe in-housing, what we need is,
1194720	1202000	see this is the same thing as we are talking about DSP3, where markets who cannot afford PEGA,
1202960	1209280	we need to give them a simplified solution. Yeah. Where people who cannot afford AEM,
1209280	1215600	we provide with the simpler thing, that I will give it to you as a central thing that we should do,
1215600	1221200	right, but like where, that's why I'm saying it's okay for PEGA and Adobe to be there,
1221840	1228560	anyway, they will be there for next few years. Exactly. But also we can say for a small market
1228560	1236880	Vietnam, how will they do it? Are we able to institutionalize by putting in like some simpler
1237520	1244480	lightweight AEM, lightweight decision? Yeah, yeah, I get you. So let me work on the workflow of
1245360	1251760	the work coming into the content creation, and then how we get that into that sort of
1251760	1255520	distribution element. So like the work coming this way and then the distribution going this way.
1255520	1264080	Let me work on that. As somebody who wants the distribution, because distribution is such a
1265200	1273680	technical non-business thing, we want it to be combined with the business value. Yeah. And
1273680	1280240	we want to have somebody who is doing the distribution to be connected back into the
1280240	1285680	business. I get it. The best way to connect them back to the business is on the journey.
1288320	1292800	Yeah, I get it. And what's the, what's the next steps in this? Because obviously,
1293520	1297120	I can do the thinking on my own, but in order to actually do anything,
1297520	1309120	and we're going to propose to Catherine saying that the new art that we want to create is not
1309120	1314720	just messaging, but it is messaging to us. What is the messaging process? Why is it to make sense
1315280	1322400	for the pieces that we are saying to go along with it? Okay, cool. All right. Thanks,
1322400	1336160	speak soon. See, I'll see you Tuesday in Edinburgh. Bye.
